DateTime,League,GameDay,Home,Away,FullTimeHomeScore,FullTimeAwayScore,HalftimeHomeScore,HalftimeAwayScore,FullTimeResult
03/03/2023 19:30:00,D1,23,Dortmund,RB Leipzig,,,,,
03/04/2023 14:30:00,D1,23,Augsburg,Werder Bremen,,,,,
03/04/2023 14:30:00,D1,23,Bochum,Schalke 04,,,,,
03/04/2023 14:30:00,D1,23,M'gladbach,Freiburg,,,,,
03/04/2023 14:30:00,D1,23,Mainz,Hoffenheim,,,,,
03/04/2023 14:30:00,D1,23,Union Berlin,FC Koln,,,,,
03/04/2023 17:30:00,D1,23,Stuttgart,Bayern Munich,,,,,
03/05/2023 14:30:00,D1,23,Leverkusen,Hertha,,,,,
03/05/2023 16:30:00,D1,23,Wolfsburg,Ein Frankfurt,,,,,
03/04/2023 12:30:00,E0,26,Man City,Newcastle,,,,,
03/04/2023 15:00:00,E0,26,Wolves,Tottenham,,,,,
03/04/2023 15:00:00,E0,26,Chelsea,Leeds,,,,,
03/04/2023 15:00:00,E0,26,Brighton,West Ham,,,,,
03/04/2023 15:00:00,E0,26,Aston Villa,Crystal Palace,,,,,
03/04/2023 15:00:00,E0,26,Arsenal,Bournemouth,,,,,
03/04/2023 17:30:00,E0,26,Southampton,Leicester,,,,,
03/05/2023 14:00:00,E0,26,Nott'm Forest,Everton,,,,,
03/05/2023 16:30:00,E0,26,Liverpool,Man United,,,,,
03/06/2023 20:00:00,E0,26,Brentford,Fulham,,,,,
03/03/2023 20:00:00,SP1,24,Sociedad,Cadiz,,,,,
03/04/2023 13:00:00,SP1,24,Getafe,Girona,,,,,
03/04/2023 15:15:00,SP1,24,Almeria,Villarreal,,,,,
03/04/2023 17:30:00,SP1,24,Mallorca,Elche,,,,,
03/04/2023 20:00:00,SP1,24,Ath Madrid,Sevilla,,,,,
03/05/2023 13:00:00,SP1,24,Valladolid,Espanol,,,,,
03/05/2023 15:15:00,SP1,24,Barcelona,Valencia,,,,,
03/05/2023 17:30:00,SP1,24,Vallecano,Ath Bilbao,,,,,
03/05/2023 20:00:00,SP1,24,Betis,Real Madrid,,,,,
03/06/2023 20:00:00,SP1,24,Osasuna,Celta,,,,,
03/03/2023 19:45:00,I1,25,Napoli,Lazio,,,,,
03/04/2023 14:00:00,I1,25,Monza,Empoli,,,,,
03/04/2023 17:00:00,I1,25,Atalanta,Udinese,,,,,
03/04/2023 19:45:00,I1,25,Fiorentina,Milan,,,,,
03/05/2023 11:30:00,I1,25,Spezia,Verona,,,,,
03/05/2023 14:00:00,I1,25,Sampdoria,Salernitana,,,,,
03/05/2023 17:00:00,I1,25,Inter,Lecce,,,,,
03/05/2023 19:45:00,I1,25,Roma,Juventus,,,,,
03/06/2023 17:30:00,I1,25,Sassuolo,Cremonese,,,,,
03/06/2023 19:45:00,I1,25,Torino,Bologna,,,,,
03/03/2023 20:00:00,E1,35,Hull,West Brom,,,,,
03/04/2023 12:30:00,E1,35,Cardiff,Bristol City,,,,,
03/04/2023 12:30:00,E1,35,Blackburn,Sheffield United,,,,,
03/04/2023 15:00:00,E1,35,Luton,Swansea,,,,,
03/04/2023 15:00:00,E1,35,Rotherham,QPR,,,,,
03/04/2023 15:00:00,E1,35,Sunderland,Stoke,,,,,
03/04/2023 15:00:00,E1,35,Watford,Preston,,,,,
03/04/2023 15:00:00,E1,35,Wigan,Birmingham,,,,,
03/04/2023 15:00:00,E1,35,Millwall,Norwich,,,,,
03/04/2023 15:00:00,E1,35,Middlesbrough,Reading,,,,,
03/04/2023 15:00:00,E1,35,Huddersfield,Coventry,,,,,
03/04/2023 15:00:00,E1,35,Blackpool,Burnley,,,,,
03/03/2023 20:00:00,F1,26,Nice,Auxerre,,,,,
03/04/2023 16:00:00,F1,26,Lens,Lille,,,,,
03/04/2023 20:00:00,F1,26,Paris SG,Nantes,,,,,
03/05/2023 12:00:00,F1,26,Troyes,Monaco,,,,,
03/05/2023 14:00:00,F1,26,Toulouse,Clermont,,,,,
03/05/2023 14:00:00,F1,26,Reims,Ajaccio,,,,,
03/05/2023 14:00:00,F1,26,Strasbourg,Brest,,,,,
03/05/2023 14:00:00,F1,26,Montpellier,Angers,,,,,
03/05/2023 16:05:00,F1,26,Lyon,Lorient,,,,,
03/05/2023 19:45:00,F1,26,Rennes,Marseille,,,,,
